GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Lolliguncula brevis,,48762898,93004769,0,0,5678655,0,0,48994332,48994364,48994394
Lolliguncula diomedeae,_,0,209969959,209969984,209970062,209970073,0,209970169,0,0,0
Luteuthis dentatus,,0,21912935,0,0,0,0,0,0,0,0
Lycoteuthis lorigera,_,0,209969973,209970020,209970065,209970145,0,209970198,0,0,0
Macroctopus maorum,,0,18076684,0,0,0,76359292,0,0,0,0
Magnapinna sp. ARL 2008,_,0,209969943,209970018,209970036,209970087,0,209970237,0,0,0
Mastigoteuthis agassizii,_,165868248,165868260,49482109,49482162,169930488,0,50347057,0,0,0
Mastigoteuthis cordiformis,,0,0,0,0,5678673,0,0,0,0,0
Mastigoteuthis hjorti,_,165868251,165868261,209970007,209970037,209970089,0,209970221,0,0,0
Mastigoteuthis magna,_,165868246,165868258,49482110,49482163,4003455,0,50347059,0,0,0
Mastigoteuthis microlucens,,165868241,165868252,0,0,169930486,0,0,0,0,0
Mastigoteuthis sp. M1,,165868245,165868256,0,0,169930494,0,0,0,0,0
Megaleledone setebos,_,129279686,129279664,0,0,15421847,0,0,161611139,154813166,161611129
Megalocranchia fisheri,_,48994434,0,0,0,0,0,0,48994491,48994607,48994557
Megalocranchia sp. ARL 2008,,0,209969944,209969993,209970038,209970123,0,209970183,0,0,0
Mesonychoteuthis hamiltoni,_,0,209969977,209970024,0,209970153,0,209970190,0,0,0
Metasepia pfefferi,,77157304,0,0,0,0,0,0,0,0,0
Metasepia tullbergi,_,62241210,62241202,0,0,62241222,242117741,0,48994350,48994382,48994412
Moroteuthis knipovitchi,_,0,209969936,49482117,49482170,4927143,0,50347071,0,0,0
Nautilus belauensis,,0,571356,0,0,0,0,0,0,0,0
Nautilus macromphalus,_,944906654,9449066533,17385427,0,911773921,944906652,0,0,0,0
Nautilus pompilius,_,48994439,38607021,34369177,0,18026437,0,0,0,0,48994567
Nautilus repertus,,0,571355,0,0,0,0,0,0,0,0
Nautilus scrobiculatus,,0,571333,18026322,0,0,0,0,0,0,0
Nautilus stenomphalus,,0,571332,0,0,0,0,0,0,0,0
Neorossia caroli,,0,117960047,0,0,0,0,0,0,0,0
Neoteuthis thielei,_,0,209969931,49482111,49482164,0,0,50347061,0,0,0
Notonykia sp. ARL 2008,_,0,209969948,209970014,209970042,209970115,0,209970245,0,0,0
Nototodarus gouldi,,0,38641271,0,0,0,0,0,0,0,0
Nototodarus hawaiiensis,,0,498942,0,0,0,0,0,0,0,0
Nototodarus sp. GD 2007,,0,148337316,0,0,0,0,0,0,0,0
Octopoteuthis megaptera,_,0,209969974,209970008,209970066,209970075,0,209970235,0,0,0
Octopoteuthis nielseni,_,48994431,48994457,49482112,49482165,4003459,0,209970231,48994515,48994601,48994551
Octopoteuthis sicula,_,0,209969933,49482113,49482166,0,0,50347063,0,0,0
Octopus aculeatus,,0,0,0,0,0,76359258,0,0,0,0
Octopus alpheus,,0,0,0,0,0,76359262,0,0,0,0
Octopus australis,,0,0,0,0,0,76359266,0,0,0,0
Octopus berrima,_,45510913,45510936,0,0,0,76359268,0,45510953,45511054,45511006
Octopus bimaculoides,_,45510917,18076178,0,0,15421827,0,0,45510961,45511062,45511014
Octopus bocki,,0,18076686,0,0,0,0,0,0,0,0
Octopus bunurong,,0,0,0,0,0,76359270,0,0,0,0
Octopus californicus,,0,16944718,0,0,15421829,0,0,0,0,0
Octopus conispadiceus,,62005885,62005871,0,0,226088482,0,0,0,0,0
Octopus cyanea,_,62005884,18076207,0,0,226088484,76359272,0,0,0,0
Octopus dierythraeus,,0,0,0,0,0,76359276,0,0,0,0
Octopus exannulatus,,0,0,0,0,0,76359278,0,0,0,0
Octopus graptus,,0,0,0,0,0,76359280,0,0,0,0
Octopus hongkongensis,,186704370,186704369,0,0,226088490,0,0,0,0,0
Octopus incella,,0,0,0,0,226088500,0,0,0,0,0
Octopus joubini,,0,0,0,0,38607157,0,38607255,0,0,0
Octopus kagoshimensis,,0,18076682,0,0,0,76359284,0,0,0,0
Octopus kaurna,_,45510914,45510937,0,0,0,0,0,45510955,45511056,45511008
Octopus laqueus,,186704374,186704373,0,0,226088502,0,0,0,0,0
Octopus longispadiceus,,0,0,0,0,226088494,0,0,0,0,0
Octopus luteus,,0,18076179,0,0,0,0,0,0,0,0
Octopus maya,,0,226424604,0,0,0,0,0,0,0,0
Octopus mimus,,0,16944714,0,0,0,0,0,0,0,0
Octopus minor,,62005879,62005865,0,0,62084165,0,0,0,0,0
Octopus mototi,,0,18076182,0,0,0,76359296,0,0,0,0
Octopus ocellate sp,,0,0,0,0,0,76359298,0,0,0,0
Octopus ocellatus,_,893374134,893374133,0,0,893374131,893374132,0,0,0,0
Octopus oculifer,,0,0,0,0,0,76359300,0,0,0,0
Octopus oliveri,,0,0,0,0,226088480,0,0,0,0,0
Octopus pallidus,,0,18076184,0,0,0,76359302,0,0,0,0
Octopus parvus,,62005875,62005861,0,0,226088504,0,0,0,0,0
Octopus rubescens,_,45510915,18076185,0,0,0,0,0,45510957,45511058,45511010
Octopus salutii,,0,16944719,0,0,0,0,0,0,0,0
Octopus sasakii,,62005881,62005867,0,0,62084169,0,0,0,0,0
Octopus sp.,,0,18076186,0,0,0,0,0,0,0,0
Octopus sp. 10 MG 2004,,0,0,0,0,0,76359288,0,0,0,0
Octopus sp. 5 MG 2004,,0,0,0,0,0,76359282,0,0,0,0
Octopus sp. 8 MG 2004,,0,0,0,0,0,76359286,0,0,0,0
Octopus sp. hakutoensis,,186704366,186704365,0,0,0,0,0,0,0,0
Octopus sp. HBH 6,,0,18076687,0,0,0,0,0,0,0,0
Octopus sp. NSMT Mo75218,,0,0,0,0,207107984,0,0,0,0,0
Octopus sp. OM853,,62086208,62086207,0,0,62086209,0,0,0,0,0
